Tau (ms),Output Amp (V),error (V)
100,1.82,0.02
150,1.78,0.02
200,1.58,0.02
250,1.54,0.02
300,1.54,0.02
350,1.32,0.02
400,1.28,0.02
450,1.14,0.02
500,1.02,0.02
550,0.88,0.02
600,0.78,0.02
650,0.64,0.02
700,0.54,0.02
750,0.44,0.02
800,0.34,0.02
850,0.28,0.02
900,0.18,0.02
950,0.14,0.02
1000,0.08,0.02
1100,0.1,0.02
1200,0.08,0.02
1300,0.08,0.02
1400,0.092,0.02
1500,0.084,0.02
